pair_id,claim,CS_gen,CS_ed,generation_strategy,target,antistereotype_id,fc_article_id,annotator_type,fc_article_url,antistereotype_url,antistereotype_location,HTER
2483,50£ billion a year towards the disabled?! Why should we waste our money on disabled people? They get too many benefits as it is!,"Investing in accessibility and support for individuals with disabilities is not a waste; it enriches our communities by allowing everyone to contribute their unique talents and perspectives. Many people with disabilities lead independent, fulfilling lives, demonstrating that they are valuable members of society who can thrive with the right support and opportunities.","Investing in accessibility and support for individuals with disabilities is not a waste; instead, it benefits our communities by allowing them to contribute with their unique talents and perspectives. Many people with disabilities lead independent, fulfilling lives, proving that they are valuable members of society who can thrive with the right support and opportunities.",NGO,people with disabilities,"[258, 261, 262, 263, 266, 268, 269, 270]",,NGO,,"['https://simpl4all.eu/news/embracing-diversity-challenging-stereotypes-of-people-with-disabilities-and-learning-difficulties/#:~:text=People%20with%20disabilities%20lack%20independence,disabilities%20lead%20fulfilling%2C%20independent%20lives.', 'https://simpl4all.eu/news/embracing-diversity-challenging-stereotypes-of-people-with-disabilities-and-learning-difficulties/#:~:text=People%20with%20disabilities%20lack%20independence,disabilities%20lead%20fulfilling%2C%20independent%20lives.', 'https://www.unh.edu/diversity-inclusion/accessible/disability-101/misconceptions-about-disability#:~:text=Misconception%201%3A%20Disability%20means%20inability&text=People%20with%20disabilities%20can%20and,and%20thriving%20in%20higher%20education.', 'https://www.unh.edu/diversity-inclusion/accessible/disability-101/misconceptions-about-disability#:~:text=Misconception%201%3A%20Disability%20means%20inability&text=People%20with%20disabilities%20can%20and,and%20thriving%20in%20higher%20education.', 'https://www.unh.edu/diversity-inclusion/accessible/disability-101/misconceptions-about-disability#:~:text=Misconception%201%3A%20Disability%20means%20inability&text=People%20with%20disabilities%20can%20and,and%20thriving%20in%20higher%20education.', 'https://cpdonline.co.uk/knowledge-base/care/addressing-myths-misconceptions-about-disability', 'https://cpdonline.co.uk/knowledge-base/care/addressing-myths-misconceptions-about-disability', 'https://cpdonline.co.uk/knowledge-base/care/addressing-myths-misconceptions-about-disability']","['1', '4', '1', '2', '5', '2', '3', '4']",0.096
2492,50£ billion a year towards the disabled?! Why should we waste our money on disabled people? They get too many benefits as it is!,"The notion that supporting disabled individuals is a waste of money overlooks the fact that £50 billion includes a range of benefits, many of which are essential for maintaining their independence and quality of life, rather than merely handouts. Additionally, people with disabilities contribute to society in numerous ways, showcasing their abilities and enriching our communities, thereby proving that they are far from a burden.","The idea that supporting people with disabilities is a waste of money overlooks the fact that £50 billion includes a range of benefits that are essential for maintaining their independence and quality of life, like housing benefit and income support. Additionally, people with disabilities do not only take handouts, but they contribute to society in numerous ways, showcasing their abilities and enriching our communities, thereby proving that they are far from a burden.",NGO + Fact-Checkers,people with disabilities,"[258, 261, 262, 263, 266, 268, 269, 270]",7692.0,NGO,https://fullfact.org/economy/does-government-spend-50-billion-year-disabled-people/,"['https://simpl4all.eu/news/embracing-diversity-challenging-stereotypes-of-people-with-disabilities-and-learning-difficulties/#:~:text=People%20with%20disabilities%20lack%20independence,disabilities%20lead%20fulfilling%2C%20independent%20lives.', 'https://simpl4all.eu/news/embracing-diversity-challenging-stereotypes-of-people-with-disabilities-and-learning-difficulties/#:~:text=People%20with%20disabilities%20lack%20independence,disabilities%20lead%20fulfilling%2C%20independent%20lives.', 'https://www.unh.edu/diversity-inclusion/accessible/disability-101/misconceptions-about-disability#:~:text=Misconception%201%3A%20Disability%20means%20inability&text=People%20with%20disabilities%20can%20and,and%20thriving%20in%20higher%20education.', 'https://www.unh.edu/diversity-inclusion/accessible/disability-101/misconceptions-about-disability#:~:text=Misconception%201%3A%20Disability%20means%20inability&text=People%20with%20disabilities%20can%20and,and%20thriving%20in%20higher%20education.', 'https://www.unh.edu/diversity-inclusion/accessible/disability-101/misconceptions-about-disability#:~:text=Misconception%201%3A%20Disability%20means%20inability&text=People%20with%20disabilities%20can%20and,and%20thriving%20in%20higher%20education.', 'https://cpdonline.co.uk/knowledge-base/care/addressing-myths-misconceptions-about-disability', 'https://cpdonline.co.uk/knowledge-base/care/addressing-myths-misconceptions-about-disability', 'https://cpdonline.co.uk/knowledge-base/care/addressing-myths-misconceptions-about-disability']","['1', '4', '1', '2', '5', '2', '3', '4']",0.323
2444,50£ billion a year towards the disabled?! Why should we waste our money on disabled people? They get too many benefits as it is!,"The government allocates around £50 billion annually to benefits for disabled individuals and those with health conditions, which encompasses a variety of supports beyond just disability benefits, such as housing assistance and income support. This expenditure represents a modest portion of the total government spending, approximately 6.4%, and is essential for ensuring that vulnerable members of society receive the necessary support to lead dignified lives.","The government allocates around £50 billion annually to benefits for disabled individuals and those with health conditions, which encompasses a variety of supports beyond just disability benefits, such as housing assistance and income support. This expenditure represents a modest portion of the total government spending, approximately 6.4%, and is essential for ensuring that vulnerable members of society receive the necessary support to lead dignified lives.",Fact-Checkers,people with disabilities,,7692.0,FC,https://fullfact.org/economy/does-government-spend-50-billion-year-disabled-people/,,,0.0
2238,"Did I hear correctly? California is forcing schools to show kids gay sex? That's disgusting and dangerous, it will deviate their mind!","California is not forcing schools to show kids gay sex; rather, it mandates that history curricula include the contributions of LGBT individuals, enhancing students' understanding of diverse American history. This law does not require the use of explicit material or pornography, and schools have the option to choose how they comply with this inclusive educational standard.","California is not forcing schools to show kids gay sex; rather, it mandates that history curricula include the contributions of LGBT individuals, enhancing students' understanding of diverse American history. Nowhere in the law does it mandate the use of gay pornography and schools have the option to use or not the new books that include “a more complete picture of the accomplishments and challenges faced by LGBT individuals in American history and culture"", as long as they comply with the law. ",Fact-Checkers,LGBTQIA+ community,,2386.0,FC,https://www.factcheck.org/2018/08/bogus-claim-about-lgbt-history-lessons/,,,0.732
2143,"Did I hear correctly? California is forcing schools to show kids gay sex? That's disgusting and dangerous, it will deviate their mind!","It's important to clarify that California is not forcing schools to show children explicit content about sexuality; rather, the state law mandates that history curricula include the contributions of LGBTQ+ individuals, which provides a more inclusive understanding of history. Furthermore, learning about LGBTQ+ history does not harm children; evidence shows that exposure to diverse perspectives fosters understanding and respect, not deviance.","It's important to clarify that California is not forcing schools to show children explicit content about sexuality. It started with a notoriously unreliable ; rather, the state law mandates that history curricula include the contributions of LGBTQ+ individuals, which provides a more inclusive understanding of history. Furthermore, learning about LGBTQ+ history does not harm children; evidence shows that exposure to diverse perspectives fosters understanding and respect, not deviance.",NGO + Fact-Checkers,LGBTQIA+ community,"[196, 197, 203, 204]",2386.0,FC,https://www.factcheck.org/2018/08/bogus-claim-about-lgbt-history-lessons/,"['https://www.pgaction.org/inclusion/pdf/myths-v-realities.pdf', 'https://www.pgaction.org/inclusion/pdf/myths-v-realities.pdf', 'https://www.pgaction.org/inclusion/pdf/myths-v-realities.pdf', 'https://www.pgaction.org/inclusion/pdf/myths-v-realities.pdf']","['4', '5', '14', '15']",0.131
1922,"Did I hear correctly? California is forcing schools to show kids gay sex? That's disgusting and dangerous, it will deviate their mind!","It's important to clarify that educational programs aimed at inclusivity do not involve forcing explicit content on children; rather, they promote understanding and respect for all individuals, regardless of their sexual orientation. Research consistently shows that exposure to diverse perspectives, including those of LGBTI individuals, does not harm children but rather fosters a more accepting and compassionate society.","It's important to clarify that educational programs aimed at inclusivity do not involve forcing explicit content on children; rather, they promote understanding and respect for all individuals, regardless of their sexual orientation. Research consistently shows that exposure to diverse perspectives, including those of LGBTI individuals, does not harm children but rather fosters a more accepting and compassionate society.",NGO,LGBTQIA+ community,"[196, 197, 203, 204]",,NGO,,"['https://www.pgaction.org/inclusion/pdf/myths-v-realities.pdf', 'https://www.pgaction.org/inclusion/pdf/myths-v-realities.pdf', 'https://www.pgaction.org/inclusion/pdf/myths-v-realities.pdf', 'https://www.pgaction.org/inclusion/pdf/myths-v-realities.pdf']","['4', '5', '14', '15']",0.0
2664,"Did you hear about that $2.5 billion being spent on a welcoming center for illegal immigrants? That's ridiculous! Our taxes should go to Americans, not criminals!","It's important to clarify that the claim about $2.5 billion being spent on a welcoming center for illegal immigrants is false; the actual funding is allocated for vital infrastructure improvements at land ports of entry, which benefit everyone by promoting efficient trade and safety. Moreover, immigrants and refugees contribute significantly to our economy by filling essential roles and paying more in taxes than they receive in support, ultimately strengthening our communities and workforce.","It's important to clarify that the claim about $2.5 billion being spent on a welcoming center for illegal immigrants is false; the actual funding is allocated for vital infrastructure improvements at land ports of entry, which benefit everyone by promoting efficient trade and safety. Moreover, immigrants and refugees contribute significantly to our economy by filling essential roles and paying more in taxes than they receive in support, ultimately strengthening our communities and workforce.",NGO + Fact-Checkers,migrants,"[39, 91, 93]",647.0,NGO,https://apnews.com/article/fact-checking-768156270632,"['https://worldrelief.org/blog-immigration-myths/', 'https://iine.org/2024/04/dispelling-10-common-myths-about-immigrants-and-refugees/', 'https://iine.org/2024/04/dispelling-10-common-myths-about-immigrants-and-refugees/']","['1', '3', '6']",0.0
2151,"Did you hear about that $2.5 billion being spent on a welcoming center for illegal immigrants? That's ridiculous! Our taxes should go to Americans, not criminals!","The claim that $2.5 billion of American tax dollars is being spent on a welcoming center for illegal immigrants is false; there is no evidence supporting such an allocation. The funding in question is actually part of a $3.4 billion budget for border stations and land ports of entry, which does not include any projects for a ""welcoming center.""","The claim that $2.5 billion of American tax dollars is being spent on a welcoming center for illegal immigrants is false; there is no evidence supporting such an allocation. The funding in question is actually part of a $3.4 billion budget for border stations and land ports of entry, which does not include any projects for a ""welcoming center.""",Fact-Checkers,migrants,,647.0,FC,https://apnews.com/article/fact-checking-768156270632,,,0.0
2621,"Did you hear about that $2.5 billion being spent on a welcoming center for illegal immigrants? That's ridiculous! Our taxes should go to Americans, not criminals!","It's important to recognize that immigrants, including those seeking refuge, actually make significant contributions to our economy by filling essential jobs and paying taxes, far outweighing the initial support they receive. Rather than seeing them as a drain, we should appreciate the vital role they play in strengthening our workforce and communities, helping to drive innovation and economic growth.","It's important to recognize that immigrants, including those seeking refuge, actually make significant contributions to our economy by filling essential jobs and paying taxes, far outweighing the initial support they receive. Rather than seeing them as a drain, we should appreciate the vital role they play in strengthening our workforce and communities, helping to drive innovation and economic growth.",NGO,migrants,"[39, 91, 93]",,NGO,,"['https://worldrelief.org/blog-immigration-myths/', 'https://iine.org/2024/04/dispelling-10-common-myths-about-immigrants-and-refugees/', 'https://iine.org/2024/04/dispelling-10-common-myths-about-immigrants-and-refugees/']","['1', '3', '6']",0.0
1981,Did you hear about that Muslim man who attacked a Hindu girl with a machete? It just shows how dangerous they are!,"It's important to clarify that the claim about a Muslim man attacking a Hindu girl is false; both the victim and the accused belong to the same community, which counters the narrative that this was a religiously motivated attack. Moreover, the vast majority of Muslims reject violence and terrorism, viewing such acts as distortions of their faith, and they are often the first victims of extremist violence themselves, highlighting the need to combat misinformation and stereotypes about Islam.","It's important to clarify that the claim of a Muslim man attacking a Hindu girl is false. Both the victim and the accused belong to the same community, which contradicts the narrative that this was a religiously motivated attack. Moreover, the vast majority of Muslims reject violence and terrorism, viewing such acts as distortions of their faith. They are often the first victims of extremist violence themselves, which highlights the need to combat misinformation and stereotypes about Islam.",NGO + Fact-Checkers,muslims,"[2, 4, 5, 6, 25, 31, 32, 33]",2973.0,NGO,https://factly.in/video-of-machete-attack-on-a-woman-in-karnataka-is-falsely-shared-with-a-communal-spin/,"['https://www.adl.org/sites/default/files/myths-and-facts-about-muslim-people-and-islam.pdf', 'https://www.adl.org/sites/default/files/myths-and-facts-about-muslim-people-and-islam.pdf', 'https://www.learningforjustice.org/sites/default/files/general/tt_debunking_misconceptions_0.pdf', 'https://www.learningforjustice.org/sites/default/files/general/tt_debunking_misconceptions_0.pdf', 'https://www.learningforjustice.org/magazine/spring-2017/busting-common-myths-about-islam', 'https://communitiesinc.org.uk/islam-mythbuster/', 'https://communitiesinc.org.uk/islam-mythbuster/', 'https://communitiesinc.org.uk/islam-mythbuster/']","['2', '4', '1', '2', '1', '4', '5', '6']",0.115
